"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"351519 Espírito Santo do Turvo";387;368;377;373;411;421;366;330;290;283;292;217;184;123;90;56;55;4623
"355730 Estiva Gerbi";760;738;747;842;895;958;941;815;806;743;736;591;465;306;202;166;158;10869
"351520 Estrela d'Oeste";472;473;514;538;574;686;668;638;613;594;609;539;403;383;245;226;242;8417
"351530 Estrela do Norte";206;211;189;203;245;232;193;184;186;207;200;148;98;82;63;45;56;2748
"351535 Euclides da Cunha Paulista";745;694;721;779;810;734;670;695;708;696;590;462;378;276;260;178;172;9568
"351540 Fartura";1095;1074;1035;1133;1212;1227;1219;1107;1053;1106;1061;970;779;600;495;335;392;15893
"351560 Fernando Prestes";342;342;320;337;382;457;428;410;394;409;368;326;301;293;230;176;220;5735
"351550 Fernandópolis";3603;3691;4068;4386;4825;5272;5447;5156;4850;4990;4781;4366;3603;2827;2312;1718;2015;67910
"351565 Fernão";109;102;117;115;114;140;130;140;125;106;90;95;74;79;53;36;42;1667
"351570 Ferraz de Vasconcelos";15339;14421;15192;17055;16550;16592;15829;14199;13105;12083;10103;8333;6258;4103;2573;1649;1507;184891
"351580 Flora Rica";74;80;78;110;115;103;104;92;103;136;139;93;87;84;74;50;85;1607
"351590 Floreal";98;105;169;164;212;203;208;190;211;242;239;229;190;165;125;111;125;2986
"351600 Flórida Paulista";839;826;869;1031;1084;1435;1486;1184;963;885;805;677;506;481;340;275;320;14006
"351610 Florínia";172;166;188;187;212;188;196;195;191;206;186;176;157;140;82;67;64;2773
"351620 Franca";23756;23134;25074;26562;27686;29248;27585;25475;23851;23281;21759;18633;14714;11447;7756;5548;6220;341729
"351630 Francisco Morato";15333;14129;14555;15815;15095;15244;14523;12707;10919;10002;8443;7578;5821;3536;2208;1247;1138;168293
"351640 Franco da Rocha";11471;10870;11719;12739;12296;14002;14222;12538;10313;8791;7288;6473;5165;3544;2024;1276;1307;146038
"351650 Gabriel Monteiro";149;152;148;157;177;193;229;175;209;247;214;186;148;129;99;78;86;2776
"351660 Gália";417;388;397;457;494;507;536;513;507;449;402;468;350;319;230;163;227;6824
"351670 Garça";2892;2830;2922;3124;3313;3575;3451;3534;3015;3028;2780;2567;2240;1668;1197;955;1216;44307
"351680 Gastão Vidigal";315;320;320;316;297;575;503;334;254;269;244;203;186;163;125;82;82;4588
"351685 Gavião Peixoto";353;335;354;349;404;446;405;338;338;328;272;204;164;135;82;81;89;4677
"351690 General Salgado";633;649;623;676;793;914;820;762;754;829;823;699;592;459;334;265;273;10898
"351700 Getulina";690;659;758;846;878;958;1082;1039;811;673;632;599;460;378;295;225;265;11248
"351710 Glicério";344;344;327;354;382;332;359;343;354;325;294;276;231;170;128;87;107;4757
"351720 Guaiçara";881;834;826;921;941;1021;948;860;810;790;708;599;471;344;261;217;205;11637
"351730 Guaimbê";431;415;405;427;445;454;473;397;357;363;336;298;252;189;187;112;136;5677
"351740 Guaíra";2665;2601;2669;2877;2925;3284;3445;3225;2936;2818;2520;2210;1823;1385;976;671;704;39734
"351750 Guapiaçu";1246;1242;1293;1421;1484;1801;1670;1625;1513;1492;1304;1087;898;712;519;394;399;20100
"351760 Guapiara";1350;1259;1363;1430;1479;1252;1206;1227;1227;1225;1151;913;743;634;486;374;396;17715
"351770 Guará";1724;1633;1770;1680;1678;1651;1732;1624;1369;1246;1164;1005;857;644;433;307;330;20847
"351780 Guaraçaí";479;471;506;553;544;631;594;608;636;619;647;512;482;361;305;258;257;8463
"351790 Guaraci";829;816;756;780;898;964;941;776;682;719;602;520;446;365;265;188;226;10773
"351800 Guarani d'Oeste";132;136;125;128;133;157;145;140;122;149;139;132;99;69;70;65;67;2008
"351810 Guarantã";523;486;511;540;537;561;561;479;432;396;342;368;302;214;153;102;115;6622
"351820 Guararapes";1980;2020;2005;2167;2351;2659;2576;2379;2283;2313;2347;1901;1513;1218;954;757;837;32260
"351830 Guararema";1960;1883;2111;2347;2349;2283;2400;2232;1960;1898;1700;1427;1230;983;637;417;554;28371
"351840 Guaratinguetá";7403;7353;7792;8453;9245;9661;9738;9157;8612;8317;8190;7091;5665;4363;3098;2133;2544;118815
"351850 Guareí";905;861;1046;1308;1449;2028;2084;1801;1281;1056;835;684;537;376;284;222;214;16971
"351860 Guariba";3022;2912;2934;3103;3284;3660;3683;2961;2559;2416;2179;1766;1295;947;643;545;587;38496
"351870 Guarujá";24359;23329;24088;25862;25449;25688;25694;24313;22547;21024;18463;15576;11851;8537;5793;4070;4145;310788
"351880 Guarulhos";103694;98401;105598;114213;108584;114828;115364;107905;97268;89185;74760;62372;47776;33856;21734;14381;14655;1324574
"351885 Guatapará";590;562;571;572;629;591;604;527;503;423;422;445;332;263;151;95;154;7434
"351890 Guzolândia";368;363;374;369;400;420;409;377;343;329;314;303;241;169;124;101;93;5097
"351900 Herculândia";649;619;703;683;733;733;732;706;638;630;579;539;350;317;240;179;232;9262
"351905 Holambra";913;903;1056;1021;1016;1108;1169;1194;1099;996;817;709;536;377;229;155;187;13485
"351907 Hortolândia";15993;15258;16316;18478;18977;20745;19726;17826;15802;14383;12287;10174;7661;5040;3295;2150;2357;216468
"351910 Iacanga";738;742;752;820;860;935;930;932;813;719;660;551;515;366;291;200;262;11086
"351920 Iacri";414;414;412;410;456;516;482;427;429;463;464;386;344;268;202;171;175;6433
"351925 Iaras";460;489;485;486;843;639;761;813;740;613;548;452;291;204;111;77;61;8073
"351930 Ibaté";2617;2534;2600;2841;2912;3285;3047;2681;2243;2059;1940;1486;1114;789;537;455;411;33551
"351940 Ibirá";772;775;728;791;905;1090;1031;879;725;763;730;704;536;444;360;268;364;11865
"351950 Ibirarema";535;517;546;576;626;554;547;541;483;572;462;345;283;267;202;148;178;7382
